Region,Median Income,Solar Potential (MW),Wind Potential (MW),Avg Energy Price ($/kWh),Subsidy Amount ($),Public Awareness (%),Grid Capacity (MW),Renewable Market Share (%),Fossil Market Share (%),Policy Support Index
Adirondacks,57450.7123,444.8178824,965.9552936,0.117467872,6312654.483,78.9499875,344.2067235,75.04545334,24.95454666,61.89508683
Albany,47926.03548,383.345878,437.3835216,0.125643731,3412572.767,43.46643431,1810.669981,47.57151464,52.42848536,67.06831118
Binghamton,59715.32807,363.6570834,357.1408777,0.120380304,6617340.171,43.42905689,1185.666277,47.7297198,52.2702802,65.1785718
Buffalo,72845.44785,366.1178378,881.7392154,0.106800462,4684704.87,62.21846537,1671.135986,78.64210892,21.35789108,55.62382848
Catskills,46487.69938,211.771018,301.2362547,0.152426081,5968424.628,65.57639609,1014.172912,27.7533777,72.2466223,52.08402208
Elmira,46487.94565,182.1163299,966.9002855,0.108452494,4925138.762,64.80517247,1358.439851,51.05879253,48.94120747,48.74813744
Finger Lakes,73688.19223,414.21252,110.9390272,0.163522841,3650191.836,35.48921024,1147.52479,47.50705397,52.49294603,34.92070822
Hudson Valley,61511.52094,414.5510276,972.890944,0.147488095,9536079.763,82.64765176,1516.861139,73.33188297,26.66811703,44.38649846
Ithaca,42957.88421,440.1825434,138.8439208,0.138052598,7872452.147,45.93600256,346.9339677,34.52922053,65.47077947,16.14086372
Jamestown,58138.40065,460.9582487,902.0288023,0.104621817,2261018.582,37.77089528,308.6337512,79.55533126,20.44466874,48.03320746
Long Island,43048.73461,280.1040795,574.9309982,0.121161433,8816211.783,83.32488479,644.7858212,44.10309824,55.89690176,30.22817786
Mohawk Valley,43014.0537,275.6823326,993.6683165,0.187769561,5386880.784,87.33908989,487.1804242,72.51194792,27.48805208,27.92821366
New York City,53629.43407,409.2328305,166.4169083,0.175045859,9050970.042,81.72765704,1769.21042,45.32300723,54.67699277,53.59788302
Niagara,21300.79633,342.4837688,598.468856,0.101122238,8198697.304,78.57096448,594.5851772,51.96230753,48.03769247,77.84004573
North Country,24126.23251,365.8850948,972.3722821,0.154966615,4826921.54,69.31451884,1956.55746,80.8837945,19.1162055,68.36633212
Plattsburgh,41565.68706,408.1067012,570.7880598,0.187569356,1202223.775,63.05144224,806.4124252,50.30491735,49.69508265,18.58998793
Poughkeepsie,34807.53319,450.5024038,666.4587743,0.066529736,3418096.234,35.21920559,527.8122482,63.90046911,36.09953089,30.20743727
Rochester,54713.70999,202.0978206,726.1738201,0.17716801,5874707.932,54.50719278,1621.457313,55.02219832,44.97780168,68.81542376
Saratoga,36379.63887,219.0123287,509.0869583,0.116868812,6701303.978,52.36131102,1385.673996,46.6859136,53.3140864,30.35025213
Syracuse,28815.44448,92.29187293,664.8022721,0.178529933,3320989.169,45.58522703,1096.75229,47.36943739,52.63056261,45.507337
Troy,71984.73153,310.2260634,625.8828807,0.111837042,2254204.667,73.40520682,1199.654392,57.10747713,42.89252287,61.00104198
Utica,46613.35549,66.17402321,911.0422094,0.059755895,8514372.131,59.7525441,1494.563201,44.36968706,55.63031294,30.6331109
Watertown,51012.92307,259.5191082,140.9017423,0.068622878,9859619.626,34.86277295,611.2185344,33.81912022,66.18087978,52.10751012
Westchester,28628.77721,294.1900856,352.8668706,0.152404247,5731211.641,43.21099212,1993.401049,33.57232984,66.42767016,23.3194901
Yonkers,41834.25913,178.9435635,955.3703357,0.162986125,2545113.573,70.99552582,1954.627692,66.9990541,33.0009459,37.97264712
Adirondacks,51663.83885,315.8749673,901.2374055,0.104784169,3450765.939,34.56785157,1370.586235,66.49061866,33.50938134,56.39563868
Albany,32735.09634,63.72511247,510.0910775,0.181929623,1165516.089,81.07241484,559.1764117,27.48806426,72.51193574,18.14012533
Binghamton,55635.47028,66.80668494,658.119338,0.066923997,9228689.259,59.70879162,1424.410836,42.70107265,57.29892735,58.80949476
Buffalo,40990.41965,420.1702523,349.6430647,0.14669601,2059759.746,58.83519464,329.9571362,41.52007264,58.47992736,49.60724402
Catskills,45624.59375,212.0857886,269.3090438,0.08944919,6188648.28,65.54446708,255.174504,29.30687816,70.69312184,61.04979909
Elmira,40974.40082,107.1772307,517.3285644,0.117408195,3466496.986,79.48085796,663.8291993,42.67111431,57.32888569,54.47828268
Finger Lakes,77784.17277,285.009467,418.0170052,0.152369934,5987602.023,50.86855247,1032.721322,46.04347497,53.95652503,77.2828086
Hudson Valley,49797.54163,396.4970989,625.2905007,0.106979332,6862783.495,70.68096915,1762.89051,53.79709422,46.20290578,52.50449005
Ithaca,34134.33607,147.1194624,169.9611733,0.130772223,8467676.233,63.94391784,1508.904326,25.86350096,74.13649904,41.41188918
Jamestown,62338.17368,330.3007141,976.9553269,0.20031464,2857791.446,46.02169621,1536.871738,76.30318907,23.69681093,52.44595006
Long Island,31687.34525,88.40635925,987.58967,0.121155407,1098962.458,82.71779918,965.888002,57.65806549,42.34193451,60.86596058
Mohawk Valley,53132.95393,73.25677453,728.3455426,0.191784606,2231970.671,77.8455613,822.6829866,48.92048214,51.07951786,50.97720141
New York City,20604.94814,289.1095842,582.4867297,0.093514657,9100167.777,69.50711008,867.8697734,44.00374699,55.99625301,50.81183382
Niagara,30077.20927,293.2858047,378.5748547,0.176490209,8865010.698,81.03490375,1977.769215,32.23482669,67.76517331,35.96016624
North Country,52952.91854,336.8434557,832.4155177,0.222078431,6376717.92,82.03765206,272.1965445,69.98338633,30.01661367,36.74198165
Plattsburgh,61076.9987,376.7411002,716.2580553,0.05,6404651.744,72.5017786,1760.656693,57.94387835,42.05612165,21.94789456
Poughkeepsie,52570.52422,489.1334358,246.3552454,0.110155237,6985330.071,80.2207997,1241.615735,51.70425679,48.29574321,84.99153486
Rochester,48265.27576,282.3351567,919.834466,0.178853606,2578341.508,71.8482877,989.5077545,67.71325986,32.28674014,25.12273529
Saratoga,45483.44457,195.3304128,840.2835186,0.139847731,9229707.513,70.80844631,1505.463789,56.27484962,43.72515038,36.14189604
Syracuse,27822.17014,407.8337876,954.819922,0.168557294,4768934.724,67.11668269,1076.004095,71.28766548,28.71233452,35.63185469
Troy,39202.33687,171.8745131,753.1475575,0.119800741,4448246.754,75.16299837,1772.161829,61.97346725,38.02653275,67.89848754
Utica,43090.41844,247.5371393,652.0736763,0.154329489,5670259.348,39.51630632,1821.263355,46.43672675,53.56327325,44.10100643
Watertown,65856.83339,85.3053716,476.4187327,0.142216138,1422693.701,82.85224555,959.0976684,42.89543973,57.10456027,74.95484145
Westchester,55154.27434,61.40783454,939.455635,0.208389103,2496550.319,82.31061166,698.290035,50.71620728,49.28379272,36.53018752
